time,data_timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
71022.795888,1969-12-31 19:43:42.795888,,,,,0.732601,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.796050,1969-12-31 19:43:42.79605,,,,,,,,,,,,,,,,31.257631,,,,,,,,,,,,,,,,
71022.796139,1969-12-31 19:43:42.796139,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71022.806331,1969-12-31 19:43:42.806331,,,,,0.4884,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.806448,1969-12-31 19:43:42.806448,,,,,,,,,,,,,,,,31.257631,,,,,,,,,,,,,,,,
71022.806538,1969-12-31 19:43:42.806538,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71022.816729,1969-12-31 19:43:42.816729,,,,,0.4884,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.816842,1969-12-31 19:43:42.816842,,,,,,,,,,,,,,,,31.257631,,,,,,,,,,,,,,,,
71022.816931,1969-12-31 19:43:42.816931,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71022.827126,1969-12-31 19:43:42.827126,,,,,0.4884,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.827238,1969-12-31 19:43:42.827238,,,,,,,,,,,,,,,,31.257631,,,,,,,,,,,,,,,,
71022.827325,1969-12-31 19:43:42.827325,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71022.837635,1969-12-31 19:43:42.837635,-228.998779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.837746,1969-12-31 19:43:42.837746,,-241.208791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.837836,1969-12-31 19:43:42.837836,,,-248.046398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.837923,1969-12-31 19:43:42.837923,,,,-236.324786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.838009,1969-12-31 19:43:42.838009,,,,,0.4884,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.838100,1969-12-31 19:43:42.8381,,,,,,,,,,,,,,,,31.257631,,,,,,,,,,,,,,,,
71022.838186,1969-12-31 19:43:42.838186,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71022.848384,1969-12-31 19:43:42.848384,,,,,0.4884,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.848497,1969-12-31 19:43:42.848497,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.848581,1969-12-31 19:43:42.848581,,,,,,,71.550672,,,,,,,,,,,,,,,,,,,,,,,,,
71022.848675,1969-12-31 19:43:42.848675,,,,,,,,,,,,,,,,31.257631,,,,,,,,,,,,,,,,
71022.848761,1969-12-31 19:43:42.848761,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71022.859037,1969-12-31 19:43:42.859037,,,,,0.4884,,,,,,,,,,,,,,,,,,,,,,,,,,,
71022.859148,1969-12-31 19:43:42.859148,,,,,,,,3.968254,,,,,,,,,,,,,,,,,,,,,,,,
71022.859232,1969-12-31 19:43:42.859232,,,,,,,,,16.666667,,,,,,,,,,,,,,,,,,,,,,,
