time,data_timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
71126.995329,1969-12-31 19:45:26.995329,-221.672772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71126.995474,1969-12-31 19:45:26.995474,,-240.23199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71126.995565,1969-12-31 19:45:26.995565,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71126.995651,1969-12-31 19:45:26.995651,,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71126.995740,1969-12-31 19:45:26.99574,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71126.995825,1969-12-31 19:45:26.995825,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71126.995913,1969-12-31 19:45:26.995913,,,,,,,70.08547,,,,,,,,,,,,,,,,,,,,,,,,,
71126.995998,1969-12-31 19:45:26.995998,,,,,,,,3.479853,,,,,,,,,,,,,,,,,,,,,,,,
71126.996116,1969-12-31 19:45:26.996116,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71126.996204,1969-12-31 19:45:26.996204,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71127.006393,1969-12-31 19:45:27.006393,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71127.006505,1969-12-31 19:45:27.006505,,,,,,,,,16.666667,,,,,,,,,,,,,,,,,,,,,,,
71127.006596,1969-12-31 19:45:27.006596,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71127.006683,1969-12-31 19:45:27.006683,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71127.016873,1969-12-31 19:45:27.016873,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71127.016984,1969-12-31 19:45:27.016984,,,,,,,,,,0.940171,,,,,,,,,,,,,,,,,,,,,,
71127.017073,1969-12-31 19:45:27.017073,,,,,,,,,,,0.671551,,,,,,,,,,,,,,,,,,,,,
71127.017164,1969-12-31 19:45:27.017164,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71127.017249,1969-12-31 19:45:27.017249,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71127.027439,1969-12-31 19:45:27.027439,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71127.027552,1969-12-31 19:45:27.027552,,,,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,
71127.027641,1969-12-31 19:45:27.027641,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71127.027726,1969-12-31 19:45:27.027726,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71127.037923,1969-12-31 19:45:27.037923,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71127.038033,1969-12-31 19:45:27.038033,,,,,,,,,,,,,0.688645,,,,,,,,,,,,,,,,,,,
71127.038119,1969-12-31 19:45:27.038119,,,,,,,,,,,,,,48.365812,,,,,,,,,,,,,,,,,,
71127.038208,1969-12-31 19:45:27.038208,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71127.038297,1969-12-31 19:45:27.038297,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71127.048607,1969-12-31 19:45:27.048607,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71127.048725,1969-12-31 19:45:27.048725,,,,,,,,,,,,,,,115.995116,,,,,,,,,,,,,,,,,
71127.048814,1969-12-31 19:45:27.048814,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71127.048898,1969-12-31 19:45:27.048898,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71127.059155,1969-12-31 19:45:27.059155,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71127.059250,1969-12-31 19:45:27.05925,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71127.059328,1969-12-31 19:45:27.059328,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71127.069496,1969-12-31 19:45:27.069496,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71127.069593,1969-12-31 19:45:27.069593,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
71127.069673,1969-12-31 19:45:27.069673,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
