time,data_timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
71458.130302,1969-12-31 19:50:58.130302,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.130448,1969-12-31 19:50:58.130448,,,,,,,,,,,,,,,,2.442002,,,,,,,,,,,,,,,,
71458.130534,1969-12-31 19:50:58.130534,,,,,,,,,,,,,,,,,0.4884,,,,,,,,,,,,,,,
71458.140725,1969-12-31 19:50:58.140725,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.140837,1969-12-31 19:50:58.140837,,,,,,,,,,,,,,,,2.686203,,,,,,,,,,,,,,,,
71458.140924,1969-12-31 19:50:58.140924,,,,,,,,,,,,,,,,,0.2442,,,,,,,,,,,,,,,
71458.151115,1969-12-31 19:50:58.151115,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.151226,1969-12-31 19:50:58.151226,,,,,,,,,,,,,,,,2.442002,,,,,,,,,,,,,,,,
71458.151313,1969-12-31 19:50:58.151313,,,,,,,,,,,,,,,,,0.4884,,,,,,,,,,,,,,,
71458.161508,1969-12-31 19:50:58.161508,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.161623,1969-12-31 19:50:58.161623,,,,,,,,,,,,,,,,2.442002,,,,,,,,,,,,,,,,
71458.161710,1969-12-31 19:50:58.16171,,,,,,,,,,,,,,,,,0.2442,,,,,,,,,,,,,,,
71458.172016,1969-12-31 19:50:58.172016,-218.742369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.172132,1969-12-31 19:50:58.172132,,-236.324786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.172218,1969-12-31 19:50:58.172218,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.172303,1969-12-31 19:50:58.172303,,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.172390,1969-12-31 19:50:58.17239,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.172481,1969-12-31 19:50:58.172481,,,,,,,,,,,,,,,,2.442002,,,,,,,,,,,,,,,,
71458.172568,1969-12-31 19:50:58.172568,,,,,,,,,,,,,,,,,0.4884,,,,,,,,,,,,,,,
71458.182760,1969-12-31 19:50:58.18276,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.182870,1969-12-31 19:50:58.18287,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.182957,1969-12-31 19:50:58.182957,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
71458.183046,1969-12-31 19:50:58.183046,,,,,,,,,,,,,,,,2.442002,,,,,,,,,,,,,,,,
71458.183133,1969-12-31 19:50:58.183133,,,,,,,,,,,,,,,,,0.2442,,,,,,,,,,,,,,,
71458.193411,1969-12-31 19:50:58.193411,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71458.193522,1969-12-31 19:50:58.193522,,,,,,,,3.968254,,,,,,,,,,,,,,,,,,,,,,,,
