time,data_timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
71199.457411,1969-12-31 19:46:39.457411,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.457551,1969-12-31 19:46:39.457551,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.457638,1969-12-31 19:46:39.457638,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.457725,1969-12-31 19:46:39.457725,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.457816,1969-12-31 19:46:39.457816,,,,,,,,,,,,,,,,27.350427,,,,,,,,,,,,,,,,
71199.457903,1969-12-31 19:46:39.457903,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71199.468118,1969-12-31 19:46:39.468118,,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.468226,1969-12-31 19:46:39.468226,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.468317,1969-12-31 19:46:39.468317,,,,,,,,,,,,,,,,27.350427,,,,,,,,,,,,,,,,
71199.468403,1969-12-31 19:46:39.468403,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71199.478592,1969-12-31 19:46:39.478592,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.478697,1969-12-31 19:46:39.478697,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.478782,1969-12-31 19:46:39.478782,,,,,,,91.330891,,,,,,,,,,,,,,,,,,,,,,,,,
71199.478877,1969-12-31 19:46:39.478877,,,,,,,,,,,,,,,,27.350427,,,,,,,,,,,,,,,,
71199.478963,1969-12-31 19:46:39.478963,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71199.489157,1969-12-31 19:46:39.489157,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.489264,1969-12-31 19:46:39.489264,,,,,,,,3.968254,,,,,,,,,,,,,,,,,,,,,,,,
71199.489353,1969-12-31 19:46:39.489353,,,,,,,,,16.666667,,,,,,,,,,,,,,,,,,,,,,,
71199.489440,1969-12-31 19:46:39.48944,,,,,,,,,,0.26862,,,,,,,,,,,,,,,,,,,,,,
71199.489529,1969-12-31 19:46:39.489529,,,,,,,,,,,,,,,,27.594628,,,,,,,,,,,,,,,,
71199.489616,1969-12-31 19:46:39.489616,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71199.499813,1969-12-31 19:46:39.499813,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.499927,1969-12-31 19:46:39.499927,,,,,,,,,,,0.725275,,,,,,,,,,,,,,,,,,,,,
71199.500043,1969-12-31 19:46:39.500043,,,,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,
71199.500133,1969-12-31 19:46:39.500133,,,,,,,,,,,,,,,,27.350427,,,,,,,,,,,,,,,,
71199.500221,1969-12-31 19:46:39.500221,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71199.510418,1969-12-31 19:46:39.510418,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.510527,1969-12-31 19:46:39.510527,,,,,,,,,,,,,0.136752,,,,,,,,,,,,,,,,,,,
71199.510614,1969-12-31 19:46:39.510614,,,,,,,,,,,,,,48.182906,,,,,,,,,,,,,,,,,,
71199.510702,1969-12-31 19:46:39.510702,,,,,,,,,,,,,,,,27.594628,,,,,,,,,,,,,,,,
71199.510793,1969-12-31 19:46:39.510793,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71199.520989,1969-12-31 19:46:39.520989,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71199.521099,1969-12-31 19:46:39.521099,,,,,,,,,,,,,,,109.89011,,,,,,,,,,,,,,,,,
71199.521188,1969-12-31 19:46:39.521188,,,,,,,,,,,,,,,,27.594628,,,,,,,,,,,,,,,,
