time,data_timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
71322.915832,1969-12-31 19:48:42.915832,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.915989,1969-12-31 19:48:42.915989,,,,,,,,,,,,,,,,15.873016,,,,,,,,,,,,,,,,
71322.916077,1969-12-31 19:48:42.916077,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71322.926268,1969-12-31 19:48:42.926268,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.926384,1969-12-31 19:48:42.926384,,,,,,,,,,,,,,,,15.873016,,,,,,,,,,,,,,,,
71322.926471,1969-12-31 19:48:42.926471,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71322.936656,1969-12-31 19:48:42.936656,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.936767,1969-12-31 19:48:42.936767,,,,,,,,,,,,,,,,15.873016,,,,,,,,,,,,,,,,
71322.936853,1969-12-31 19:48:42.936853,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71322.947046,1969-12-31 19:48:42.947046,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.947158,1969-12-31 19:48:42.947158,,,,,,,,,,,,,,,,15.873016,,,,,,,,,,,,,,,,
71322.947244,1969-12-31 19:48:42.947244,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71322.957553,1969-12-31 19:48:42.957553,-226.556777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.957664,1969-12-31 19:48:42.957664,,-248.046398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.957754,1969-12-31 19:48:42.957754,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.957839,1969-12-31 19:48:42.957839,,,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.957925,1969-12-31 19:48:42.957925,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.958016,1969-12-31 19:48:42.958016,,,,,,,,,,,,,,,,15.628816,,,,,,,,,,,,,,,,
71322.958103,1969-12-31 19:48:42.958103,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71322.968294,1969-12-31 19:48:42.968294,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.968404,1969-12-31 19:48:42.968404,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.968488,1969-12-31 19:48:42.968488,,,,,,,88.644689,,,,,,,,,,,,,,,,,,,,,,,,,
71322.968582,1969-12-31 19:48:42.968582,,,,,,,,,,,,,,,,15.873016,,,,,,,,,,,,,,,,
71322.968668,1969-12-31 19:48:42.968668,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71322.978942,1969-12-31 19:48:42.978942,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71322.979055,1969-12-31 19:48:42.979055,,,,,,,,4.456654,,,,,,,,,,,,,,,,,,,,,,,,
71322.979140,1969-12-31 19:48:42.97914,,,,,,,,,16.178266,,,,,,,,,,,,,,,,,,,,,,,
71322.979225,1969-12-31 19:48:42.979225,,,,,,,,,,0.737485,,,,,,,,,,,,,,,,,,,,,,
